id;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;meta_immobile;list_file_ape_validated;plot_filename;classe_energetica_ape;epglnren_ape
3107622;3480.0;FABBRICATO;Strada Comunale del Villaretto;187;45.1306589;7.6848438;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;45;True;[];;;
3107623;5444.0;FABBRICATO;Via degli Abeti;13;45.1312655;7.7090528;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;3;True;['2020_101416_0019.xml'];ape_summary_af6cfcc9132e.html;A1;119.03
3107624;690.0;FABBRICATO;Via delle Querce;23;45.1304989;7.7075375;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;3;True;[];;;
3107625;1355.25;FABBRICATO;Via degli Abeti;15;45.1310566;7.7099316;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;in concessione a titolo oneroso;5512.0;01/12/2013;2;True;[];;;
3107626;302.0;FABBRICATO;VIA DEGLI ULIVI;49E;45.129511;7.7168342;Locale commerciale, negozio;Dopo il 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];ape_summary_ec9fca2bf74f.html;A4;28.36
3107627;1009.4200000000001;FABBRICATO;PIAZZA ASTENGO GIOVANNI;10;45.1271572;7.7097132;Ufficio strutturato ed assimilabili;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;True;[];;;
3107628;3851.0;FABBRICATO;Via dei Pioppi;43;45.1264153;7.7124527;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività artistica e culturale;;;;2;True;[];;;
3107629;2298.75;FABBRICATO;Strada Cuorgnè;109;45.1260897;7.7006839;Abitazione;Prima del 1919;Nessuno;Demanio;Utilizzato direttamente;Attività didattica;;;;6;True;[];;;
3107630;1328.2800000000002;FABBRICATO;Strada Cuorgnè;81;45.1234107;7.7033776;Ufficio strutturato ed assimilabili;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107631;176.0;FABBRICATO;Strada Bellacomba;138;45.1247425;7.672253;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;True;[];;;
3107632;176.0;FABBRICATO;Strada Bellacomba;138;45.1247425;7.672253;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;True;[];;;
3107633;369.0;FABBRICATO;Strada Bellacomba;138;45.1245559;7.6715423;Fabbricato per attività produttiva (industriale, artigianale o agricola);Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;4;True;[];;;
3107634;4568.5;FABBRICATO;Via Giovanni de Stefanis;20;45.1175901;7.6534828;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107635;2104.0;FABBRICATO;STRADA PROV. DI LANZO;146;45.1177993;7.6586549;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107636;933.0;FABBRICATO;corso vercelli;491 13;45.1201654;7.7099907;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2021_313821_0080.xml'];ape_summary_30fbaefbb650.html;C;112.85
3107637;846.0;FABBRICATO;corso vercelli;483 9;45.119656;7.7092692;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;True;['2019_312661_0144.xml', '2019_312661_0145.xml'];ape_summary_a808b314c391.html;C;84.17
3107638;926.0;FABBRICATO;corso vercelli;487 10;45.1197849;7.7097167;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];ape_summary_cda046821f98.html;C;77.59
3107639;927.0;FABBRICATO;corso vercelli;491 11;45.1199126;7.7101329;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];ape_summary_53e5133b0ac7.html;B;113.65
3107640;924.0;FABBRICATO;corso vercelli;483 6;45.119419;7.7094427;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2021_313821_0081.xml', '2021_313821_0082.xml'];ape_summary_e49e134657d1.html;C;86.26
3107641;926.0;FABBRICATO;corso vercelli;487 7;45.1195375;7.7098654;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;12;True;[];;;
3107642;922.0;FABBRICATO;corso vercelli;491 8;45.1196739;7.7103112;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2019_102351_0131.xml', '2019_102351_0132.xml', '2019_102351_0133.xml'];ape_summary_ca59db81887b.html;C;120.64
3107643;7105.25;FABBRICATO;Via Cavagnolo;35;45.1167094;7.7073511;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;7;True;[];;;
3107644;926.0;FABBRICATO;corso vercelli;483 4;45.1191459;7.7095702;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;[];;;
3107645;929.0;FABBRICATO;corso vercelli;491 5;45.1194406;7.7104328;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2019_102351_0129.xml', '2019_102351_0130.xml'];ape_summary_44f54df48408.html;A1;58.21
3107646;938.0;FABBRICATO;corso vercelli;483 1;45.118914;7.7097266;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;9;True;[];ape_summary_560bda509ab6.html;C;108.47
3107647;887.0;FABBRICATO;corso vercelli;487 2;45.1190395;7.7101843;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;True;['2019_102351_0144.xml', '2019_102351_0145.xml', '2021_313821_0083.xml', '2022_113181_0020.xml'];ape_summary_5f759814c7c5.html;C;80.15
3107648;924.0;FABBRICATO;corso vercelli;491 3;45.1191776;7.7105979;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2019_102351_0140.xml', '2019_102351_0141.xml', '2021_313821_0072.xml'];ape_summary_5dc2f5535ae8.html;B;83.9
3107649;926.0;FABBRICATO;corso vercelli;483 14;45.1201632;7.7089964;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;15;True;['2019_102351_0126.xml', '2019_102351_0127.xml', '2019_102351_0128.xml'];ape_summary_9bfab82a8f3c.html;B;93.55
3107650;929.0;FABBRICATO;corso vercelli;487 15;45.1202979;7.7094372;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2020_312661_0134.xml', '2021_313821_0070.xml', '2021_313821_0078.xml', '2021_313821_0079.xml'];ape_summary_54cd8a07a8dd.html;G;246.87
3107651;584.0;FABBRICATO;CORSO VERCELLI;SNC;45.118225;7.7096195;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;4;True;[];;;
3107652;931.0;FABBRICATO;corso vercelli;491 16;45.1204147;7.7098685;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;True;['2019_312661_0149.xml', '2019_312661_0150.xml', '2019_312661_0151.xml', '2019_312661_0152.xml', '2021_313821_0071.xml', '2021_313821_0169.xml'];ape_summary_f559c995e69a.html;C;88.35
3107653;1902.0;FABBRICATO;Via Stefano Tempia;0;45.11743;7.7081348;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;20;True;['2021_108905_0009.xml', '2021_203171_0003.xml', '2021_210948_0117.xml'];ape_summary_41b9385628be.html;E;92.13
3107654;1070.0;FABBRICATO;via tempia stefano;9;45.1171163;7.708784;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;11;True;[];ape_summary_8c24694aaa51.html;D;132.97
3107655;932.0;FABBRICATO;corso vercelli;483 12;45.119915;7.7091353;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;True;['2019_102351_0146.xml', '2019_312661_0146.xml', '2019_312661_0147.xml', '2019_312661_0148.xml', '2021_313821_0075.xml'];ape_summary_ee3f4936237a.html;B;108.96
3107656;349.0;FABBRICATO;Via Ivrea;49 B;45.1168175;7.7052032;Locale commerciale, negozio;Dal 1981 al 1990;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;3;True;['2022_102992_0034.xml'];ape_summary_223efdeb63ba.html;F;199.66
3107657;5247.5;FABBRICATO;STRADA PROV. DI LANZO;147 11;45.1155714;7.6563601;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107658;826.0;FABBRICATO;Strada Bra;22;45.1160617;7.6602276;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;9;True;[];;;
3107659;668.5;FABBRICATO;via venaria;82;45.11210976;7.65749785;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107660;387.0;FABBRICATO;via venaria;38;45.10833391;7.66100814;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;8;True;[];;;
3107661;416.0;FABBRICATO;Via Venarìa;36;45.10818734;7.66114061;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;6;True;['2019_312661_0215.xml'];ape_summary_d37f1c2d340d.html;F;326.15
